TrackMan Performance Studio — Combine
Player: Sample Player

Date,Time,Club,Target [yds],Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Low Point [in],Impact Offset [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Spin Rate [rpm],Carry [yds],Total [yds],Side [yds],Distance To Pin [yds],Score
2026-08-27,10:01:00,SW,60,64.9,-2.9,-4.4,-0.5,2.0,39.6,1.9,-1.2,73.7,1.136,30.5,9866,57.9,61.9,-1.1,2.1,93
2026-08-27,10:02:00,SW,60,63.6,-4.1,-4.8,0.9,0.2,39.1,2.7,6.2,73.7,1.159,29.3,10130,53.6,57.6,-1.4,6.9,78
2026-08-27,10:03:00,SW,60,63.5,-3.4,-0.6,-3.6,0.0,38.1,0.3,-7.0,73.9,1.164,27.3,9784,56.4,60.4,-4.3,4.2,87
2026-08-27,10:04:00,SW,70,65.5,-3.3,-1.1,2.1,-1.7,39.5,2.3,6.0,74.1,1.131,29.7,8797,66.4,70.4,-2.8,4.4,86
2026-08-27,10:05:00,SW,70,65.0,-3.4,0.5,-0.2,-0.7,36.9,2.4,-2.9,75.2,1.158,30.6,8891,64.4,68.4,0.4,6.0,81
2026-08-27,10:06:00,SW,70,64.3,-5.1,0.4,-0.8,0.4,38.5,-0.5,3.0,75.1,1.168,30.2,10241,63.3,67.3,3.5,7.6,76
2026-08-27,10:07:00,GW,80,69.5,-3.2,-1.2,-1.1,-0.1,36.2,1.3,11.3,84.9,1.221,27.7,9495,69.5,73.5,8.7,11.3,64
2026-08-27,10:08:00,GW,80,67.1,-3.5,-0.8,-0.8,-0.2,34.0,1.7,-0.0,81.3,1.210,28.4,9211,65.0,69.0,3.0,15.4,51
2026-08-27,10:09:00,GW,80,69.5,-2.8,-2.4,-1.0,1.8,34.4,3.3,0.8,83.9,1.206,28.3,8868,73.0,77.0,-0.4,8.3,73
2026-08-27,10:10:00,GW,90,70.8,-3.8,-2.1,1.3,2.4,35.4,3.4,-6.1,85.6,1.209,28.0,9436,87.3,91.3,-0.4,3.4,89
2026-08-27,10:11:00,GW,90,70.5,-3.7,-0.9,0.2,4.6,33.6,2.3,5.7,82.8,1.175,27.0,9121,94.2,98.2,-2.2,4.5,86
2026-08-27,10:12:00,GW,90,72.1,-4.5,-1.7,-1.2,2.2,38.5,0.5,3.9,86.2,1.196,27.9,8856,84.9,88.9,5.1,5.3,83
2026-08-27,10:13:00,PW,100,74.6,-3.6,1.1,-1.6,-0.6,33.0,3.5,10.3,92.2,1.235,23.4,7634,95.8,99.8,-0.3,4.4,86
2026-08-27,10:14:00,PW,100,74.0,-3.7,-0.9,0.5,2.0,32.7,1.7,-4.3,91.4,1.236,24.1,8593,87.4,91.4,0.9,12.7,60
2026-08-27,10:15:00,PW,100,73.3,-3.2,-2.2,-1.9,-0.2,34.2,1.8,6.8,90.4,1.234,24.6,8876,84.8,88.8,-3.4,15.2,51
2026-08-27,10:16:00,9i,120,78.5,-4.5,-1.3,-1.0,-1.4,28.5,2.7,1.1,100.1,1.275,21.8,8568,110.4,114.4,1.9,9.8,68
2026-08-27,10:17:00,9i,120,77.2,-3.8,-1.7,-1.4,4.4,27.6,4.0,9.0,98.4,1.276,21.1,7807,115.1,119.1,-5.6,5.2,83
2026-08-27,10:18:00,9i,120,74.9,-2.6,-3.5,-1.0,4.4,32.7,-0.1,4.9,96.4,1.287,22.6,8327,103.7,107.7,-4.6,16.4,48
2026-08-27,10:19:00,8i,140,78.2,-2.9,-2.5,1.7,-0.3,30.8,1.0,-0.3,105.2,1.345,17.0,7598,130.2,134.2,-6.1,9.8,68
2026-08-27,10:20:00,8i,140,82.5,-3.4,0.1,-3.8,4.1,24.9,1.5,3.5,108.2,1.311,20.3,6979,126.8,130.8,2.8,14.8,53
2026-08-27,10:21:00,8i,140,83.3,-4.2,0.3,-5.4,-1.5,28.7,1.4,-9.7,107.3,1.289,22.3,7169,131.2,135.2,2.3,9.8,69
2026-08-27,10:22:00,7i,160,86.2,-4.1,2.7,-1.3,1.4,24.7,2.7,3.5,114.5,1.328,18.5,5859,137.6,141.6,4.1,25.0,20
