TrackMan Performance Studio
Player: Sample Player
Facility: Home Simulator

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-08-24,14:09:00,Driver,98.4,-1.8,-3.0,-1.5,1.5,16.1,17.9,0.7,4.1,-4.7,138.5,1.408,10.0,-1.8,3654,3.3,229.3,247.3,-4.0,3.2,27.5,40.5,6.1
2026-08-24,14:10:00,Driver,99.2,-1.6,-1.3,-0.3,1.0,13.9,15.5,-0.1,-3.8,7.5,145.6,1.468,12.5,0.2,3732,4.1,237.9,255.9,5.0,4.1,27.6,50.5,6.2
2026-08-24,14:11:00,Driver,97.1,-1.4,-3.4,-0.3,3.0,14.0,15.4,1.4,-1.8,-1.1,140.3,1.445,10.1,-0.7,3754,7.6,228.4,246.4,4.7,7.3,27.3,52.2,6.8
2026-08-24,14:12:00,Driver,101.0,-2.1,-1.6,1.3,2.9,14.7,16.8,-0.6,4.1,5.7,140.6,1.392,10.8,0.5,3553,7.3,230.9,248.9,9.1,7.1,28.0,47.6,6.0
2026-08-24,14:13:00,Driver,96.3,-1.4,-2.0,0.9,3.0,14.2,15.6,-1.5,0.8,1.8,135.4,1.406,10.6,-0.3,3336,6.2,224.1,242.1,4.6,5.8,29.1,41.8,6.5
2026-08-24,14:14:00,Driver,97.2,-3.7,-2.9,-0.7,2.1,13.3,17.1,1.9,7.3,-0.5,141.8,1.459,11.8,-1.2,3037,6.3,234.0,252.0,1.1,6.2,29.7,43.3,5.4
2026-08-24,14:15:00,Driver,100.1,-1.8,0.8,2.3,1.5,15.1,16.9,-2.3,0.7,-1.0,145.8,1.457,9.9,2.4,3757,3.8,240.2,258.2,13.7,3.8,22.8,49.3,6.2
2026-08-24,14:16:00,Driver,96.3,-3.4,-1.0,0.7,1.7,14.3,17.7,0.2,1.0,2.8,136.0,1.412,11.5,1.0,3677,4.1,219.7,237.7,7.6,3.8,29.7,39.0,5.3
2026-08-24,14:17:00,Driver,99.9,-1.7,-0.4,0.9,1.2,16.8,18.4,-1.2,-4.1,9.6,145.8,1.460,10.3,1.0,3936,1.5,241.3,259.3,5.5,1.5,26.0,45.1,6.0
2026-08-24,14:18:00,Driver,98.2,-3.2,-2.2,-1.8,0.3,16.1,19.3,0.4,6.9,2.4,142.6,1.452,12.9,-2.1,4473,0.5,231.6,249.6,-7.8,0.5,28.9,46.5,6.4
2026-08-24,14:19:00,Driver,97.5,-1.3,-0.9,2.6,3.5,12.4,13.7,2.0,5.5,-2.3,137.0,1.405,11.7,1.2,3811,7.9,223.4,241.4,12.2,7.4,24.9,41.1,6.2
2026-08-24,14:20:00,Driver,98.6,-3.4,-0.0,2.6,2.6,14.1,17.4,-1.9,6.8,5.1,146.6,1.487,11.0,2.2,3819,7.8,239.5,257.5,17.1,7.8,27.8,47.3,5.5
2026-08-24,14:21:00,5 Iron,86.4,-2.7,-0.1,0.5,0.6,23.5,26.2,2.3,-2.1,1.3,119.3,1.381,17.7,0.1,5371,2.4,169.1,175.1,1.9,1.7,27.4,45.8,6.6
2026-08-24,14:22:00,5 Iron,84.6,-2.5,3.1,5.3,2.2,23.2,25.6,1.7,8.4,1.4,116.5,1.377,14.6,4.8,4961,4.3,172.2,178.2,17.6,3.1,22.2,49.1,5.9
2026-08-24,14:23:00,5 Iron,83.6,-0.4,0.8,0.0,-0.8,21.5,21.9,2.1,-7.6,4.3,115.0,1.376,13.2,0.5,4770,-0.5,168.8,174.8,1.0,-0.4,29.6,43.9,6.8
2026-08-24,14:24:00,5 Iron,86.1,-1.3,-2.9,1.4,4.4,25.0,26.2,5.0,4.6,0.2,117.5,1.365,13.6,0.4,5249,11.3,170.9,176.9,9.3,8.1,25.2,45.2,6.5
2026-08-24,14:25:00,5 Iron,85.0,-0.8,-0.5,2.0,2.6,24.6,25.3,0.9,5.7,5.1,114.4,1.346,13.3,0.9,5348,7.3,162.7,168.7,7.6,5.0,30.2,47.2,6.1
2026-08-24,14:26:00,5 Iron,83.8,-3.6,-1.4,-2.0,-0.6,20.2,23.8,2.5,3.4,1.7,112.5,1.343,14.9,-1.6,5075,-2.5,165.7,171.7,-6.3,-1.8,28.1,42.7,6.7
2026-08-24,14:27:00,5 Iron,87.3,-4.2,-4.2,-4.9,-0.7,22.2,26.4,2.8,3.5,1.0,117.0,1.340,13.0,-5.2,4679,-1.4,168.8,174.8,-16.5,-1.0,29.1,45.1,6.2
2026-08-24,14:28:00,5 Iron,87.1,-3.1,-1.2,-2.0,-0.8,21.8,24.9,0.6,3.6,0.9,119.6,1.374,15.5,-1.4,5068,-2.5,173.4,179.4,-6.1,-1.8,23.0,41.4,6.4
2026-08-24,14:29:00,5 Iron,85.0,-3.6,-1.6,-0.8,0.8,24.6,28.3,2.0,-2.7,1.9,119.4,1.405,16.5,-0.8,6387,2.5,172.9,178.9,-0.4,1.8,29.4,46.9,6.6
2026-08-24,14:30:00,5 Iron,85.8,-3.4,-1.2,2.4,3.6,19.7,23.1,0.9,9.7,2.6,117.8,1.374,13.4,2.1,5197,9.4,171.5,177.5,13.2,6.8,26.7,44.3,5.8
2026-08-24,14:31:00,7 Iron,83.8,-3.9,-3.6,1.3,4.9,28.7,32.7,1.0,11.1,0.8,110.3,1.316,18.1,-0.2,7204,12.9,161.8,165.8,8.3,8.8,28.6,46.8,6.8
2026-08-24,14:32:00,7 Iron,81.3,-2.1,-6.3,-4.4,1.9,28.3,30.4,3.8,15.3,0.0,104.6,1.287,17.6,-5.4,6698,4.1,153.9,157.9,-11.9,2.7,27.3,47.0,6.2
2026-08-24,14:33:00,7 Iron,83.5,-3.2,-4.6,-1.3,3.2,24.6,27.8,2.3,15.3,-2.4,109.7,1.314,17.2,-2.0,6460,9.3,160.9,164.9,0.8,6.3,26.9,43.3,5.8
