TrackMan Performance Studio
Player: Test Player
Activity: Driving Range

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-08-24,14:05:00,Driver,98.3,-3.2,-2.2,1.0,3.2,16.0,19.2,-2.1,2.1,-5.6,143.0,1.454,12.4,-0.4,3983,7.9,238.9,256.9,6.0,7.6,36.6,47.0,6.6
2026-08-24,14:06:00,Driver,99.9,-1.6,-0.5,3.8,4.3,13.7,15.2,1.0,1.3,-1.3,144.8,1.449,9.8,3.1,3091,10.5,246.6,264.6,23.6,10.4,43.6,45.8,5.7
2026-08-24,14:07:00,Driver,97.0,-1.1,-0.7,0.4,1.2,14.0,15.1,1.1,-2.0,-0.5,140.3,1.446,12.9,0.1,3151,1.8,240.4,258.4,2.0,1.7,43.7,47.7,5.4
2026-08-24,14:08:00,Driver,96.4,-1.4,1.1,3.4,2.4,12.7,14.1,1.0,-1.9,2.4,140.6,1.458,11.2,2.6,3003,5.7,242.6,260.6,16.6,5.6,39.4,44.6,5.9
2026-08-24,14:09:00,Driver,100.6,-2.6,-1.1,1.9,3.1,13.4,15.9,-0.2,-6.5,0.6,140.0,1.392,10.7,1.2,3923,6.2,241.1,259.1,10.9,6.0,35.2,47.6,5.6
2026-08-24,14:10:00,Driver,94.9,-3.4,-0.6,0.0,0.6,13.4,16.7,0.8,5.2,-0.8,131.0,1.381,14.7,-0.1,3430,2.1,225.0,243.0,1.4,1.9,27.2,40.9,6.4
2026-08-24,14:11:00,Driver,96.0,-1.6,-0.2,0.9,1.1,14.8,16.4,-1.6,-5.9,-1.3,132.3,1.378,10.0,0.1,3179,1.5,227.7,245.7,1.9,1.3,36.8,46.8,5.7
2026-08-24,14:12:00,Driver,97.2,-2.4,-2.1,0.3,2.4,12.8,15.2,-0.4,2.2,-2.5,139.1,1.431,11.1,-0.1,3112,5.8,234.3,252.3,4.9,5.4,41.6,46.6,6.6
2026-08-24,14:13:00,Driver,99.5,-2.7,-3.6,-3.4,0.2,16.3,19.0,-0.1,10.3,-3.2,138.3,1.389,11.4,-3.4,4046,1.2,231.1,249.1,-12.6,1.1,44.2,42.6,5.7
2026-08-24,14:14:00,Driver,98.6,-1.7,-0.8,0.6,1.4,11.7,13.4,-0.1,0.8,2.8,141.2,1.431,11.1,-0.1,3451,5.4,235.7,253.7,4.7,5.1,40.6,41.3,6.0
2026-08-24,14:15:00,Driver,100.0,-1.8,-1.8,1.4,3.2,13.5,15.3,-0.5,-4.1,5.9,140.3,1.403,12.4,1.0,3419,9.8,241.4,259.4,13.5,9.5,41.8,43.7,6.3
2026-08-24,14:16:00,Driver,97.9,-1.6,-2.4,0.8,3.2,15.9,17.5,1.0,3.1,1.2,140.1,1.432,10.0,-0.5,3728,7.1,238.8,256.8,4.6,6.8,29.3,41.4,7.3
2026-08-24,14:17:00,5 Iron,86.4,-6.1,-2.1,0.3,2.4,24.5,30.6,1.7,-3.2,2.7,117.3,1.358,16.2,0.3,6094,4.0,175.2,179.2,3.7,2.8,52.8,45.6,6.7
2026-08-24,14:18:00,5 Iron,86.3,-3.1,-3.1,0.5,3.6,19.0,22.2,2.3,1.5,-5.9,118.8,1.376,16.3,-0.6,5016,9.3,181.6,185.6,4.9,6.8,50.1,49.5,6.2
2026-08-24,14:19:00,5 Iron,87.1,-3.9,-1.7,-0.9,0.8,22.0,25.9,2.3,6.4,3.1,113.5,1.302,14.6,-0.9,5291,-0.1,173.9,177.9,-2.8,-0.1,44.7,44.6,5.8
2026-08-24,14:20:00,5 Iron,85.6,-4.4,-4.7,-1.2,3.5,23.0,27.4,2.2,7.4,-0.5,113.1,1.322,14.6,-1.3,5553,8.6,173.4,177.4,1.9,5.9,60.6,39.9,5.6
2026-08-24,14:21:00,5 Iron,86.1,-2.9,-2.1,-1.6,0.5,19.6,22.5,0.5,2.8,0.8,114.8,1.334,16.2,-1.9,4667,3.1,172.4,176.4,-3.6,2.1,59.9,46.0,5.8
2026-08-24,14:22:00,5 Iron,87.1,-4.7,-0.6,1.0,1.6,22.5,27.2,2.5,-4.4,-3.5,115.4,1.326,13.1,0.3,4753,4.4,174.6,178.6,4.0,3.1,45.4,43.3,6.6
2026-08-24,14:23:00,5 Iron,87.1,-4.2,-0.6,1.3,1.9,20.8,25.0,3.3,4.4,-1.9,112.3,1.290,14.8,1.1,5100,5.2,167.8,171.8,6.6,3.5,54.8,48.9,5.4
2026-08-24,14:24:00,5 Iron,84.9,-2.6,-3.6,-3.6,0.0,22.6,25.2,1.8,-3.4,-1.1,114.0,1.344,15.3,-3.6,4573,-0.6,169.6,173.6,-11.2,-0.4,49.4,47.2,5.2
2026-08-24,14:25:00,5 Iron,90.1,-2.9,-3.7,-1.7,2.0,23.8,26.6,1.8,-4.2,7.8,120.3,1.335,15.7,-1.9,4616,5.7,181.7,185.7,-1.8,4.1,53.6,45.1,6.7
2026-08-24,14:26:00,5 Iron,86.2,-3.1,-0.5,2.0,2.5,20.1,23.2,3.4,3.9,1.2,114.7,1.331,16.1,1.1,5164,5.9,170.4,174.4,7.2,4.0,52.4,45.4,6.4
2026-08-24,14:27:00,7 Iron,83.2,-3.6,-2.6,1.1,3.7,25.4,29.0,3.5,10.2,5.5,100.8,1.211,18.3,0.5,6230,7.0,147.2,151.2,5.5,4.1,62.7,44.1,6.1
2026-08-24,14:28:00,7 Iron,83.3,-2.5,-7.3,-4.0,3.2,28.8,31.3,2.2,12.1,0.8,106.1,1.273,19.3,-4.8,7073,8.2,155.1,159.1,-8.0,5.1,64.8,42.8,5.3
2026-08-24,14:29:00,7 Iron,83.7,-4.2,-4.2,-3.9,0.3,26.2,30.4,2.5,8.6,2.9,104.2,1.245,17.3,-4.7,6547,-0.1,149.9,153.9,-12.4,-0.0,56.2,42.6,6.9
2026-08-24,14:30:00,7 Iron,81.7,-3.1,-3.7,-3.0,0.6,26.9,30.0,1.7,18.3,1.3,101.8,1.245,20.0,-3.2,6791,1.3,145.7,149.7,-7.5,0.8,70.6,40.2,5.5
2026-08-24,14:31:00,7 Iron,83.9,-2.5,-0.7,0.7,1.3,29.7,32.2,2.3,6.8,5.2,102.5,1.221,19.0,0.2,6318,1.3,145.9,149.9,1.4,0.8,56.0,48.5,5.6
2026-08-24,14:32:00,7 Iron,83.4,-5.0,-2.1,0.5,2.6,24.8,29.8,1.8,13.2,2.2,103.1,1.236,18.3,0.0,6366,5.6,147.5,151.5,3.4,3.3,61.9,44.9,5.1
2026-08-24,14:33:00,7 Iron,82.5,-5.3,-5.7,-2.7,3.0,27.9,33.2,1.8,10.4,1.3,104.8,1.271,17.1,-3.4,7213,7.5,152.1,156.1,-4.5,4.6,50.3,43.3,5.4
