TrackMan Performance Studio
Player: Test Player
Activity: Combine

Date,Time,Club,Target [yds],Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s],Distance To Pin [yds],Score
2026-08-27,14:05:00,SW,60,66.9,-4.8,-0.5,-1.4,-0.9,45.4,50.2,3.1,-4.1,2.2,72.1,1.079,28.6,-0.6,10777,-1.7,48.8,52.8,-0.8,-0.3,105.4,39.6,7.0,11.2,64
2026-08-27,14:06:00,SW,60,64.4,-2.5,-0.6,-1.4,-0.8,45.7,48.2,2.1,-4.0,3.1,70.2,1.090,30.8,-0.4,9889,-1.0,47.6,51.6,-0.5,-0.2,106.0,47.8,6.4,12.4,60
2026-08-27,14:07:00,SW,60,64.7,-3.5,0.9,-0.2,-1.1,43.5,47.0,1.4,-0.1,-2.8,75.1,1.161,29.9,0.3,10316,-4.5,54.1,58.1,-0.6,-1.0,105.9,43.6,6.1,5.9,81
2026-08-27,14:08:00,SW,70,63.6,-4.6,-1.9,-2.6,-0.6,45.9,50.6,2.3,-1.9,-1.2,72.5,1.138,28.3,-2.1,10872,-2.5,60.4,64.4,-2.9,-0.6,103.9,42.7,5.1,10.0,68
2026-08-27,14:09:00,SW,70,64.3,-5.1,0.1,-0.1,-0.3,43.3,48.3,1.8,-6.0,0.8,67.3,1.047,30.4,0.0,10426,0.2,54.9,58.9,0.1,0.0,96.5,44.2,6.6,15.1,52
2026-08-27,14:10:00,SW,70,65.0,-3.0,-0.2,-0.9,-0.8,44.4,47.5,0.8,-4.0,2.4,69.2,1.065,29.9,-0.5,11264,-2.0,56.1,60.1,-1.0,-0.4,100.0,45.6,6.3,13.9,56
2026-08-27,14:11:00,GW,80,70.2,-2.3,-1.1,-2.1,-1.0,40.8,43.1,3.0,0.1,3.6,84.0,1.196,30.6,-1.9,9478,-1.7,72.9,76.9,-3.0,-0.5,104.7,46.2,6.5,7.7,75
2026-08-27,14:12:00,GW,80,69.7,-3.8,-0.5,0.4,0.9,39.2,42.9,3.2,-7.4,6.9,76.3,1.094,28.7,0.3,9100,3.2,63.5,67.5,1.2,0.8,91.8,43.1,6.5,16.5,47
2026-08-27,14:13:00,GW,80,69.1,-4.8,0.5,0.3,-0.2,39.7,44.5,3.2,-2.3,3.7,79.1,1.145,27.6,0.3,9661,-0.6,68.0,72.0,0.2,-0.2,96.3,45.8,6.0,12.0,62
2026-08-27,14:14:00,GW,90,69.9,-5.0,0.0,0.9,0.9,39.4,44.4,1.4,-1.7,4.5,83.7,1.198,30.3,1.1,9830,1.2,82.5,86.5,2.0,0.4,93.9,48.6,5.2,7.8,75
