TrackMan Performance Studio
Player: Test Player
Activity: Driving Range

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-08-30,14:05:00,Driver,99.1,2.1,-0.7,-1.1,-0.4,13.7,11.7,-0.9,0.8,1.5,144.1,1.455,11.6,-1.3,2505,-2.4,244.5,262.5,-7.7,-2.3,42.7,41.0,6.5
2026-08-30,14:06:00,Driver,98.4,2.2,-0.6,-0.6,0.0,14.0,11.8,0.1,1.3,2.1,143.5,1.458,11.1,-0.3,2407,-0.3,242.1,260.1,-1.4,-0.3,34.7,50.8,6.9
2026-08-30,14:07:00,Driver,99.0,1.7,-1.7,-0.8,0.8,15.5,13.8,0.6,-0.6,8.9,143.3,1.447,11.9,-0.4,2830,2.0,246.2,264.2,0.1,1.9,48.2,43.6,5.8
2026-08-30,14:08:00,Driver,96.4,0.5,-0.8,-0.5,0.3,13.9,13.4,-0.3,-3.7,0.6,136.7,1.417,11.5,-0.2,2787,2.8,227.5,245.5,1.6,2.5,31.8,44.0,6.4
2026-08-30,14:09:00,Driver,95.4,0.9,0.0,-0.0,-0.1,14.0,13.1,0.6,2.9,-0.6,136.4,1.429,12.2,0.2,2720,0.1,230.7,248.7,0.9,0.0,36.6,49.5,5.7
2026-08-30,14:10:00,Driver,98.0,1.6,0.1,0.1,0.0,15.0,13.4,-0.6,1.2,0.1,143.0,1.459,11.2,-0.1,2647,-0.1,241.2,259.2,-0.7,-0.1,32.1,43.8,6.0
2026-08-30,14:11:00,Driver,98.0,1.4,0.4,0.2,-0.2,15.1,13.7,0.2,2.4,-3.0,140.6,1.434,11.4,0.3,2737,-2.0,242.8,260.8,-0.7,-2.0,38.3,42.8,6.0
2026-08-30,14:12:00,Driver,96.4,1.3,-0.5,0.7,1.2,13.4,12.1,0.4,-0.7,0.9,143.0,1.484,11.7,1.0,2655,0.7,242.5,260.5,5.1,0.7,39.4,43.0,5.8
2026-08-30,14:13:00,Driver,97.8,1.5,-0.8,0.5,1.4,13.7,12.3,0.2,3.1,4.6,138.9,1.420,11.5,0.3,2658,1.9,236.4,254.4,3.0,1.8,45.5,49.1,5.5
2026-08-30,14:14:00,Driver,98.8,2.1,0.2,-0.2,-0.4,15.0,12.9,0.2,-3.2,-0.3,139.5,1.412,10.6,-0.3,2661,-0.1,237.1,255.1,-1.3,-0.1,37.2,45.2,5.6
2026-08-30,14:15:00,Driver,98.6,0.8,0.1,-0.3,-0.3,12.5,11.6,-0.4,-0.9,1.1,144.6,1.467,11.9,-0.3,2760,0.4,245.3,263.3,-0.7,0.4,28.2,44.4,6.9
2026-08-30,14:16:00,Driver,97.7,1.3,1.0,1.1,0.1,14.4,13.1,0.4,0.6,5.6,143.2,1.465,11.4,1.1,2541,-0.4,242.3,260.3,4.4,-0.4,36.9,42.0,5.5
