TrackMan Performance Studio
Player: Test Player
Activity: Driving Range

Date,Time,Club,Club Speed [mph],Attack Angle [deg],Club Path [deg],Face Angle [deg],Face To Path [deg],Dynamic Loft [deg],Spin Loft [deg],Low Point [in],Impact Offset [mm],Impact Height [mm],Ball Speed [mph],Smash Factor,Launch Angle [deg],Launch Direction [deg],Spin Rate [rpm],Spin Axis [deg],Carry [yds],Total [yds],Side [yds],Curve [yds],Height [ft],Landing Angle [deg],Hang Time [s]
2026-07-27,14:05:00,7 Iron,84.4,-2.6,-1.3,0.6,1.9,25.0,27.6,2.4,0.7,3.1,111.3,1.319,17.6,0.4,6245,5.0,159.6,163.6,10.1,3.2,69.4,45.8,6.2
2026-07-27,14:06:00,7 Iron,84.2,-3.0,-2.5,0.2,2.7,26.3,29.3,2.3,5.3,1.8,104.6,1.241,17.8,-0.3,6827,8.0,136.7,140.7,17.1,4.4,61.9,45.8,6.3
2026-07-27,14:07:00,7 Iron,83.7,-3.6,-2.9,-1.2,1.7,26.4,30.0,1.7,-0.8,2.3,109.6,1.309,19.7,-1.7,6642,5.5,161.0,165.0,-8.0,3.6,63.0,44.9,5.9
2026-07-27,14:08:00,7 Iron,82.2,-4.2,-3.6,-2.1,1.5,26.8,31.0,2.1,3.0,1.7,105.1,1.279,18.1,-3.1,6887,3.8,151.0,155.0,-26.5,2.3,65.0,47.3,6.3
2026-07-27,14:09:00,7 Iron,81.9,-4.8,-2.3,-0.0,2.3,27.9,32.6,2.8,0.9,6.7,107.0,1.307,19.6,-1.1,6462,6.1,138.7,142.7,5.2,3.4,58.6,44.6,7.0
2026-07-27,14:10:00,7 Iron,83.1,-3.8,-4.4,-0.8,3.6,26.5,30.3,1.9,8.2,4.6,102.0,1.228,18.1,-1.4,7073,8.1,143.9,147.9,10.5,4.7,74.3,42.2,6.6
2026-07-27,14:11:00,7 Iron,83.0,-3.5,-1.7,0.2,1.9,27.9,31.5,1.7,4.9,2.7,105.2,1.267,18.2,0.0,6882,5.6,150.4,154.4,1.7,3.4,62.3,49.6,6.6
2026-07-27,14:12:00,7 Iron,82.5,-4.3,-4.1,-2.0,2.2,26.0,30.3,2.9,4.9,1.4,103.7,1.257,18.9,-2.5,6744,5.1,151.3,155.3,-0.7,3.1,61.6,49.3,6.3
2026-07-27,14:13:00,7 Iron,85.1,-4.1,-3.1,-0.4,2.7,25.3,29.3,1.8,5.5,3.5,105.6,1.241,17.5,-0.6,6629,5.7,155.7,159.7,4.7,3.5,66.4,47.1,6.2
2026-07-27,14:14:00,7 Iron,82.9,-2.0,-1.7,1.1,2.8,27.3,29.3,1.5,6.1,6.2,103.4,1.247,18.1,0.3,6677,8.2,148.3,152.3,5.9,4.9,67.6,51.7,6.0
2026-07-27,14:15:00,7 Iron,81.8,-4.1,-4.4,-2.4,2.0,27.1,31.2,1.0,6.9,-1.7,100.6,1.230,18.5,-3.1,6950,4.9,147.0,151.0,-16.0,2.9,56.9,45.3,5.8
2026-07-27,14:16:00,7 Iron,84.4,-2.0,-3.5,-1.9,1.6,26.5,28.5,3.6,7.3,-1.5,103.5,1.226,18.3,-3.1,6457,4.9,150.1,154.1,1.3,2.9,67.3,46.1,5.9
2026-07-27,14:17:00,Driver,96.8,2.4,-2.0,2.7,4.6,14.2,11.8,0.0,-1.3,3.6,138.7,1.433,10.8,2.1,2541,10.0,238.4,256.4,28.3,9.6,35.2,43.5,6.6
2026-07-27,14:18:00,Driver,97.9,2.4,-5.6,-4.1,1.5,13.9,11.5,0.7,1.9,0.1,141.6,1.447,12.8,-4.5,2504,4.0,241.2,259.2,-15.1,3.8,33.4,47.3,7.5
2026-07-27,14:19:00,Driver,96.5,2.0,-4.1,-0.8,3.3,13.8,11.8,0.1,5.8,4.6,132.8,1.377,11.9,-1.2,2734,6.8,241.8,259.8,12.5,6.6,33.9,45.0,6.5
2026-07-27,14:20:00,Driver,96.0,1.1,-2.5,-0.6,1.9,15.1,14.0,-0.3,-0.9,1.6,140.3,1.461,12.5,-0.9,2695,2.6,233.8,251.8,-8.7,2.4,38.6,41.4,6.9
2026-07-27,14:21:00,Driver,97.1,0.2,-0.9,-0.2,0.7,15.1,14.8,0.5,1.8,-0.8,138.3,1.425,12.6,-0.3,2959,-0.4,226.2,244.2,0.5,-0.3,34.9,44.4,5.8
2026-07-27,14:22:00,Driver,97.8,1.0,-2.9,0.0,3.0,13.9,12.9,-0.1,7.8,1.2,133.6,1.366,11.8,-1.0,2828,7.4,235.3,253.3,7.9,7.0,31.5,41.0,5.8
2026-07-27,14:23:00,Driver,98.3,1.3,-2.8,0.1,2.9,15.7,14.4,-0.1,6.3,-0.7,135.8,1.381,12.0,-0.5,2606,8.6,233.5,251.5,17.6,8.1,55.4,44.0,5.5
2026-07-27,14:24:00,Driver,96.8,1.0,-3.3,-0.7,2.6,14.8,13.9,-0.1,3.2,-1.9,138.5,1.431,10.5,-1.3,2854,6.7,228.9,246.9,3.4,6.2,40.0,47.3,4.8
2026-07-27,14:25:00,Driver,98.0,0.8,-1.1,1.6,2.7,14.4,13.6,0.4,8.1,7.3,134.8,1.375,11.2,1.1,2656,6.4,227.7,245.7,9.5,5.8,39.7,51.2,6.7
2026-07-27,14:26:00,Driver,98.2,1.9,-3.7,-2.4,1.2,14.2,12.3,-0.0,-0.1,-0.2,143.8,1.464,11.0,-2.4,2665,4.1,242.6,260.6,-0.9,3.9,35.6,43.6,6.3
2026-07-27,14:27:00,Driver,98.5,1.9,-3.3,-0.7,2.5,15.0,13.1,0.6,6.5,-1.7,135.7,1.379,10.4,-0.7,2702,6.3,219.0,237.0,3.9,5.5,39.0,47.4,6.5
2026-07-27,14:28:00,Driver,97.0,1.4,-2.8,-0.8,2.1,13.9,12.5,0.2,-0.3,0.0,141.8,1.462,11.7,-1.1,2623,4.2,236.7,254.7,-14.5,4.0,40.1,42.1,6.0
