sep=,
Date,TMD No,TMD Filename,Player,Club,Ball,Club Speed,Attack Angle,Club Path,Low Point,Swing Plane,Swing Direction,Dyn. Loft,Face Angle,Face To Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Spin Rate,Spin Rate Type,Spin Axis,Max Height - Height,Carry Flat - Length,Carry Flat - Side,Carry Flat - Land. Angle,Est. Total Flat - Length,Est. Total Flat - Side,Impact Offset,Impact Height,Curve,Spin Loft,Low Point Side,Use In Stat,Condition
,,,,,,[mph],[deg],[deg],[in],[deg],[deg],[deg],[deg],[deg],[mph],[],[deg],[deg],[rpm],[],[deg],[ft],[yds],[yds],[deg],[yds],[yds],[mm],[mm],[ft],[deg],[mm],,
"9/2/2026 5:20:00 PM",,,"Sample Player","7 Iron","Premium",84.0,-0.3,-2.2,2.7,56.688,-2.2,28.3,0.5,2.7,100.8,1.200,18.8,0.2,7271,Measured,5.0,64.9,131.1,-4.4,44.7,135.1,-4.4,-9.2,2.2,7.80,28.6,-6,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:21:00 PM",,,"Sample Player","7 Iron","Premium",82.9,-4.1,-0.6,2.7,65.270,-0.6,28.5,3.4,4.0,101.9,1.230,18.0,2.4,7586,Estimated,10.5,73.8,131.7,37.3,46.0,135.7,37.3,-17.0,2.8,16.50,32.6,-2,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:22:00 PM",,,"Sample Player","7 Iron","Premium",81.4,-2.2,-0.3,1.8,62.361,-0.3,28.9,0.4,0.7,105.5,1.297,19.7,-0.4,6713,Estimated,1.2,60.9,163.7,7.0,48.9,167.7,7.0,-1.0,1.3,2.40,31.1,-4,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:24:00 PM",,,"Sample Player","7 Iron","Premium",80.5,-3.9,-1.0,4.1,59.188,-1.0,27.5,-3.6,-2.6,96.1,1.194,16.4,-2.5,6550,Estimated,-6.8,62.4,147.4,-11.5,41.9,151.4,-11.5,-12.3,5.8,-12.00,31.3,1,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:25:00 PM",,,"Sample Player","7 Iron","Premium",83.9,-4.5,-2.1,1.7,55.282,-2.1,25.2,1.8,3.9,105.5,1.258,18.0,0.4,6663,Estimated,8.9,63.5,147.3,8.7,44.2,151.3,8.7,11.0,2.7,15.60,29.7,-3,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:27:00 PM",,,"Sample Player","7 Iron","Premium",82.8,-4.2,-4.0,0.8,54.911,-4.0,25.6,-2.2,1.8,104.9,1.267,19.5,-3.0,6687,Estimated,3.6,61.0,159.9,-21.4,45.4,163.9,-21.4,-5.6,0.5,6.90,29.8,-7,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:28:00 PM",,,"Sample Player","7 Iron","Premium",80.8,-4.1,2.4,3.2,53.768,2.4,28.7,3.8,1.4,99.6,1.232,18.6,3.5,7789,Estimated,4.4,64.3,142.0,41.8,44.4,146.0,41.8,-3.2,2.9,7.50,32.8,1,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:29:00 PM",,,"Sample Player","7 Iron","Premium",82.5,-3.1,-0.8,1.9,57.636,-0.8,28.6,-0.3,0.4,100.7,1.221,20.5,0.1,6304,Estimated,1.2,65.4,150.7,-1.5,47.4,154.7,-1.5,5.2,-2.4,2.10,31.7,-1,FALSE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:31:00 PM",,,"Sample Player","7 Iron","Premium",83.7,-4.5,1.4,2.6,59.601,1.4,29.1,3.0,1.7,107.5,1.284,14.0,2.4,9603,Estimated,2.8,55.3,154.8,10.2,44.8,158.8,10.2,1.0,2.9,5.10,33.6,-4,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:32:00 PM",,,"Sample Player","7 Iron","Premium",81.1,-3.2,-2.7,3.8,57.932,-2.7,29.9,2.4,5.1,100.8,1.243,16.7,1.1,6261,Estimated,13.3,66.7,130.3,-12.1,46.9,134.3,-12.1,-9.4,-6.9,20.70,33.0,-7,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:34:00 PM",,,"Sample Player","7 Iron","Premium",86.2,-1.6,-0.2,3.4,53.511,-0.2,28.0,-0.2,0.0,105.5,1.223,19.0,-0.1,6191,Estimated,1.1,64.5,139.9,9.7,49.2,143.9,9.7,8.6,2.6,1.80,29.6,-1,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:35:00 PM",,,"Sample Player","7 Iron","Premium",76.9,-4.3,-2.4,1.4,53.379,-2.4,26.5,6.3,8.6,104.1,1.353,18.9,4.1,6595,Estimated,20.5,60.2,153.1,55.6,45.8,157.1,55.6,-1.4,3.5,37.50,30.8,-1,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:36:00 PM",,,"Sample Player","7 Iron","Premium",88.6,-5.6,-2.0,2.5,58.761,-2.0,26.9,-1.2,0.8,110.8,1.251,19.3,-1.6,7405,Estimated,1.2,58.5,145.6,11.4,45.8,149.6,11.4,18.0,8.8,2.10,32.5,1,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:38:00 PM",,,"Sample Player","7 Iron","Premium",78.8,-2.7,1.1,1.9,65.880,1.1,22.6,3.9,2.8,101.5,1.288,17.2,3.0,5981,Estimated,6.0,59.8,155.5,9.1,47.9,159.5,9.1,1.9,-5.3,11.40,25.3,-2,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:39:00 PM",,,"Sample Player","7 Iron","Premium",86.2,-4.6,-1.5,2.5,58.766,-1.5,26.4,-0.1,1.4,108.7,1.261,19.5,-0.4,6073,Estimated,5.4,61.0,153.5,-13.9,41.3,157.5,-13.9,-4.3,2.7,9.90,31.0,-6,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:41:00 PM",,,"Sample Player","7 Iron","Premium",81.4,-2.6,2.3,0.3,60.814,2.3,24.4,-0.1,-2.4,103.2,1.267,22.6,0.4,6905,Estimated,-5.7,57.8,143.6,-11.0,45.5,147.6,-11.0,-4.1,-0.5,-9.90,27.1,-7,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:42:00 PM",,,"Sample Player","7 Iron","Premium",82.7,-3.7,-1.3,4.1,54.308,-1.3,25.7,3.1,4.5,110.5,1.337,17.9,2.6,6081,Estimated,10.8,70.0,139.0,17.4,49.9,143.0,17.4,2.1,-0.5,18.00,29.4,-8,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:43:00 PM",,,"Sample Player","7 Iron","Premium",79.7,-1.6,-0.2,3.5,57.313,-0.2,28.5,3.0,3.1,99.1,1.243,20.0,1.7,5960,Estimated,7.8,59.0,162.1,12.9,45.2,166.1,12.9,5.8,5.1,15.00,30.2,-2,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:45:00 PM",,,"Sample Player","7 Iron","Premium",81.0,-4.4,0.6,2.6,47.884,0.6,26.4,6.1,5.5,101.1,1.249,17.1,4.7,6958,Estimated,13.4,64.2,158.5,-0.8,50.0,162.5,-0.8,-15.4,-1.9,25.50,30.8,-7,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
"9/2/2026 5:46:00 PM",,,"Sample Player","7 Iron","Premium",83.0,-4.6,-4.2,0.8,55.974,-4.2,26.9,1.6,5.8,109.8,1.323,18.9,0.3,5362,Estimated,12.6,56.3,159.3,-2.1,47.5,163.3,-2.1,0.9,-0.3,24.00,31.6,-3,TRUE,"Data are normalized to no wind conditions at 4700 ft altitude"
